ID,Species,Collection_date,Port_where_fish_was_landed,StatD,Quadrant,Grid,TL_mm,WT_kg,Fin.clip,Stock_wild,Sex,Mat,d15N_14N,d13C_12C,CN,d13corr
68129,CHS,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,880,6.59,NONE,Wild,F,M,11.16460332,-24.88734327,3.898897275,-24.34743497
68130,LAT,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,595,1.62,LP,Stock,F,M,12.19450213,-25.14796521,4.204750868,-24.30526185
68131,LAT,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,616,2.28,LP,Stock,M,M,12.36569904,-24.95731569,4.098599989,-24.2197017
68135,CHS,6/18/15,MCKINLEY MARINA,WM5,Southwest,1701,555,1.57,NONE,Wild,F,I,10.0115152,-23.55178259,3.330255256,-23.55178259
68137,CHS,6/18/15,MCKINLEY MARINA,WM5,Southwest,1701,591,1.99,ADCWT,Stock,M,I,10.43452553,-25.46436227,4.175262335,-24.65085256
68144,CHS,6/18/15,MCKINLEY MARINA,WM5,Southwest,1701,831,5.89,NONE,Wild,F,I,10.96623231,-23.08935611,3.261408263,-23.08935611
68145,LAT,6/18/15,MCKINLEY MARINA,WM5,Southwest,1701,697,2.87,NONE,Wild,F,I,10.30137238,-23.87122193,3.630339244,-23.59718608
68170,CHS,6/18/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,638,2.39,ADCWT,Stock,M,I,10.66912869,-24.19370355,3.687979572,-23.86260377
68179,LAT,6/13/15,MCKINLEY MARINA,WM5,Southwest,1901,562,1.6,NONE,Wild,M,I,12.87838393,-23.61769864,3.613520504,-23.36031334
68180,RBT,6/13/15,MCKINLEY MARINA,WM5,Southwest,1901,821,4.29,NONE,Unknown,M,I,11.38471362,-23.57206445,3.525084313,-23.40223098
68185,LAT,6/13/15,MCKINLEY MARINA,WM5,Southwest,1901,500,1.21,AD,Stock,M,I,13.17729916,-22.56405586,3.50491715,-22.41418788
68195,CHS,6/13/15,MCKINLEY MARINA,WM5,Southwest,1901,345,0.36,ADCWT,Stock,M,I,9.872927231,-22.84698785,3.127180833,-22.84698785
68199,LAT,6/13/15,MILWAUKEE - SOUTH SHORE PARK,WM5,Southwest,1901,634,1.14,RV,Stock,M,I,12.59939639,-25.51303874,4.303925106,-24.57215289
68405,LAT,8/23/15,MCKINLEY MARINA,WM5,Southwest,1901,744,4.18,LP,Stock,F,M,13.10030584,-25.95112698,4.735532912,-24.5829494
68407,LAT,8/23/15,MCKINLEY MARINA,WM5,Southwest,1901,728,3.39,ADCWT,Stock,M,M,12.57041067,-22.77802952,3.859566199,-22.27705898
68416,COS,8/23/15,MCKINLEY MARINA,WM5,Southwest,1901,695,3.8,NONE,Unknown,M,M,10.75427424,-21.73858404,3.438402755,-21.73858404
68423,CHS,8/23/15,MCKINLEY MARINA,WM5,Southwest,1901,835,5.12,ADCWT,Stock,F,M,11.39105425,-23.63595232,3.404515129,-23.63595232
68425,COS,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,644,2.75,NONE,Unknown,M,M,11.01967473,-22.9129039,3.175527479,-22.9129039
68429,CHS,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,890,7.29,ADCWT,Stock,M,M,11.15373367,-22.89465023,3.194669771,-22.89465023
68430,LAT,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,705,3.56,RPLV,Stock,F,M,11.61421737,-26.20741131,5.023089362,-24.55455284
68434,RBT,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,735,3.24,NONE,Unknown,M,I,10.08153333,-23.06896885,3.285364388,-23.06896885
68435,RBT,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,763,3.7,RP,Stock,M,I,10.40307544,-22.74350816,3.220972696,-22.74350816
68437,LAT,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,584,1.61,NONE,Wild,M,I,11.05028199,-23.79800079,3.748954305,-23.40653603
68440,LAT,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,622,1.65,LPRV,Stock,F,I,12.33809934,-24.3878357,3.871406082,-23.87514368
68442,LAT,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,620,1.95,NONE,Wild,F,I,11.96049349,-24.04635233,3.73899965,-23.66474268
68444,CHS,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,555,1.8,NONE,Wild,M,M,11.33398861,-24.01420906,3.409271208,-24.01420906
68446,LAT,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,763,5.12,RPLV,Stock,F,M,12.26968384,-23.5791631,4.512750745,-22.43153986
68448,LAT,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,711,3.44,RP,Stock,F,M,12.04323292,-23.88034877,4.062378409,-23.17859415
68450,CHS,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,356,0.46,NONE,Wild,M,I,11.1102551,-23.98277218,3.27182901,-23.98277218
68452,CHS,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,825,4.61,ADCWT,Stock,F,M,11.14467564,-23.32462572,3.116041936,-23.32462572
68453,CHS,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,763,4.63,ADCWT,Stock,M,M,11.43543863,-25.33658653,4.263648245,-24.43557477
68459,CHS,8/22/15,PORT WASHINGTON PRIMARY CLEANING STATION,WM5,Southwest,1701,714,3.23,ADCWT,Stock,F,I,10.91822471,-22.7354376,3.093916952,-22.7354376
